site,year,collection,round,plant_id,total_fruits,fresh_fruits,red,black,dry,r_float,r_sink,b_float,b_sink,wasp,abort,partheno,wasp_dry,term,viab.p,unviab.p,wasp.p,abort.p,partheno.p,viab.se,unviab.se
puntal,2018-19,2018-19 early,1,331,227,226,199,27,1,130,69,9,18,1,24,20,NA,early,0.38495575221238937,0.6150442477876106,0.004424778761061947,0.33306516492357197,0.27755430410297666,0.03236714308605289,0.032367143086052895
puntal,2019-20,2019-20 early,1,331,377,209,198,11,168,166,32,0,11,7,6,16,NA,early,0.20574162679425836,0.7942583732057417,0.03349282296650718,0.20748151370160942,0.5532840365376251,0.027962039356384447,0.027962039356384447
puntal,2019-20,2019-20 mid,2,331,187,160,147,13,27,85,62,0,13,0,20,5,NA,mid,0.46875,0.53125,0,0.42500000000000004,0.10625000000000001,0.039451191165476865,0.039451191165476865
puntal,2019-20,2019-20 late,3,331,121,86,52,34,35,45,7,10,24,0,10,5,NA,late,0.36046511627906974,0.6395348837209303,0,0.4263565891472868,0.2131782945736434,0.05177433325511272,0.05177433325511272
puntal,2018-19,2018-19 early,1,332,223,219,106,113,4,85,21,12,101,0,21,18,NA,early,0.5570776255707762,0.4429223744292237,0,0.23849666315419737,0.20442571127502634,0.03356600154369091,0.03356600154369091
puntal,2019-20,2019-20 early,1,332,93,75,26,49,18,25,1,0,49,1,12,17,NA,early,0.6666666666666666,0.3333333333333333,0.013333333333333334,0.13241379310344828,0.1875862068965517,0.05443310539518174,0.05443310539518174
puntal,2019-20,2019-20 mid,2,332,141,141,80,61,0,54,26,1,60,0,10,10,NA,mid,0.6099290780141844,0.3900709219858156,0,0.1950354609929078,0.1950354609929078,0.041077301095587174,0.041077301095587174
puntal,2019-20,2019-20 late,3,332,70,18,7,11,52,7,0,7,4,9,NA,NA,NA,late,0.2222222222222222,0.7777777777777778,0.5,NA,NA,0.09799078929868854,0.09799078929868854
puntal,2018-19,2018-19 early,1,333,255,254,231,23,1,156,75,0,23,1,26,12,NA,early,0.3858267716535433,0.6141732283464567,0.003937007874015748,0.417530045586407,0.19270617488603398,0.030543919193847194,0.030543919193847194
puntal,2018-19,2018-19 early,1,334,174,171,163,8,3,28,135,0,8,0,6,14,NA,early,0.8362573099415205,0.16374269005847952,0,0.04912280701754385,0.11461988304093566,0.028297812771768006,0.028297812771768006
puntal,2018-19,2018-19 early,1,335,222,211,148,63,11,120,28,25,38,0,35,6,NA,early,0.3127962085308057,0.6872037914691943,0,0.5866373829615074,0.10056640850768697,0.03191775126445937,0.03191775126445937
puntal,2019-20,2019-20 early,1,335,112,80,68,12,32,50,18,2,10,0,10,20,NA,early,0.35,0.65,0,0.21666666666666667,0.43333333333333335,0.05332682251925385,0.05332682251925385
puntal,2019-20,2019-20 mid,2,335,84,65,15,50,19,15,0,45,5,2,NA,NA,NA,mid,0.07692307692307693,0.9230769230769231,0.03076923076923077,NA,NA,0.0330514557248969,0.03305145572489689
puntal,2019-20,2019-20 late,3,335,37,32,2,30,5,2,0,25,5,0,NA,NA,NA,late,0.15625,0.84375,0,NA,NA,0.06418623720763665,0.06418623720763665
puntal,2018-19,2018-19 early,1,336,196,195,129,66,1,55,74,2,64,0,16,23,NA,early,0.7076923076923077,0.2923076923076923,0,0.11992110453648916,0.17238658777120316,0.03257054712666769,0.03257054712666769
puntal,2019-20,2019-20 early,1,336,200,188,103,85,12,97,6,1,84,0,6,24,NA,early,0.4787234042553192,0.5212765957446809,0,0.10425531914893618,0.4170212765957447,0.036433216846069906,0.036433216846069906
