site,year,collection,round,plant_id,total_fruits,fresh_fruits,red,black,dry,r_float,r_sink,b_float,b_sink,wasp,abort,partheno,wasp_dry,term,viab.p,unviab.p,wasp.p,abort.p,partheno.p,viab.se,unviab.se
puntal,2019-20,2019-20 early,1,310,161,72,52,20,89,33,19,2,18,6,11,13,NA,early,0.5138888888888888,0.4861111111111111,0.08333333333333333,0.18460648148148148,0.21817129629629628,0.058902827083330896,0.05890282708333089
puntal,2019-20,2019-20 mid,2,310,94,13,8,5,81,6,2,2,3,1,17,3,12,mid,0.38461538461538464,0.6153846153846154,0.13829787234042554,0.4055237315875614,0.07156301145662848,0.1349320029703122,0.1349320029703122
puntal,2019-20,2019-20 late,3,310,77,33,16,17,44,16,0,1,16,1,12,3,NA,late,0.48484848484848486,0.5151515151515151,0.030303030303030304,0.38787878787878793,0.09696969696969698,0.08699885606851798,0.08699885606851798
puntal,2018-19,2018-19 early,1,311,282,275,259,16,7,242,17,5,11,8,20,20,NA,early,0.10181818181818182,0.8981818181818182,0.02909090909090909,0.43454545454545457,0.43454545454545457,0.01823595246852382,0.018235952468523817
puntal,2019-20,2019-20 early,1,311,124,52,27,25,72,19,8,7,18,1,16,13,NA,early,0.5,0.5,0.019230769230769232,0.26525198938992045,0.21551724137931036,0.06933752452815364,0.06933752452815364
puntal,2019-20,2019-20 late,3,311,25,22,19,3,3,17,2,0,3,0,NA,NA,NA,late,0.22727272727272727,0.7727272727272727,0,NA,NA,0.08934606739851096,0.08934606739851096
puntal,2018-19,2018-19 early,1,312,294,290,238,52,4,200,38,14,38,0,19,21,NA,early,0.2620689655172414,0.7379310344827587,0,0.35051724137931034,0.3874137931034483,0.025823594051922704,0.025823594051922704
puntal,2019-20,2019-20 early,1,312,142,117,115,2,25,93,22,1,1,4,24,16,NA,early,0.19658119658119658,0.8034188034188035,0.03418803418803419,0.46153846153846156,0.3076923076923077,0.03674083753819046,0.03674083753819046
puntal,2019-20,2019-20 mid,2,312,433,300,287,13,133,237,50,1,12,5,27,13,NA,mid,0.20666666666666667,0.7933333333333333,0.016666666666666666,0.52425,0.2524166666666667,0.023377735530168836,0.023377735530168836
puntal,2018-19,2018-19 early,1,313,191,189,163,26,2,130,33,4,22,0,23,17,NA,early,0.291005291005291,0.708994708994709,0,0.40767195767195763,0.3013227513227513,0.03304007600304306,0.03304007600304306
puntal,2019-20,2019-20 early,1,313,732,595,588,7,137,513,75,0,7,33,6,34,NA,early,0.13781512605042018,0.8621848739495799,0.05546218487394958,0.12100840336134454,0.6857142857142857,0.014131561736510883,0.01413156173651088
puntal,2019-20,2019-20 mid,2,313,321,267,220,47,54,192,28,3,44,3,23,17,NA,mid,0.2696629213483146,0.7303370786516854,0.011235955056179775,0.4134831460674157,0.3056179775280899,0.027159180526751384,0.027159180526751384
puntal,2019-20,2019-20 late,3,313,62,30,14,16,32,12,2,4,12,0,8,1,NA,late,0.4666666666666667,0.5333333333333333,0,0.47407407407407404,0.059259259259259255,0.09108400680852977,0.09108400680852977
puntal,2018-19,2018-19 early,1,314,197,190,172,18,7,110,62,4,14,1,14,26,NA,early,0.4,0.6,0.005263157894736842,0.20815789473684207,0.386578947368421,0.03554093266554554,0.03554093266554554
puntal,2019-20,2019-20 early,1,314,178,173,160,13,5,100,60,3,10,0,14,26,NA,early,0.4046242774566474,0.5953757225433526,0,0.2083815028901734,0.3869942196531792,0.037316291561355616,0.037316291561355616
puntal,2019-20,2019-20 mid,2,314,239,233,207,26,6,125,82,2,24,1,18,22,NA,mid,0.45493562231759654,0.5450643776824035,0.004291845493562232,0.24334763948497856,0.2974248927038627,0.03262277581020124,0.03262277581020124
puntal,2019-20,2019-20 late,3,314,48,47,36,11,1,30,6,3,8,1,8,2,NA,late,0.2978723404255319,0.7021276595744681,0.02127659574468085,0.5446808510638298,0.13617021276595745,0.0667074287283814,0.0667074287283814
puntal,2018-19,2018-19 early,1,315,298,290,229,61,8,161,68,2,59,0,30,13,NA,early,0.4379310344827586,0.5620689655172414,0,0.39214113873295914,0.16992782678428228,0.02913390272515318,0.02913390272515318
puntal,2019-20,2019-20 mid,2,315,416,389,295,94,27,235,60,1,93,7,8,32,NA,mid,0.39331619537275064,0.6066838046272494,0.017994858611825194,0.11773778920308485,0.4709511568123394,0.02476722302408089,0.02476722302408089
puntal,2019-20,2019-20 late,3,315,40,26,22,4,14,21,1,0,4,1,NA,NA,NA,late,0.19230769230769232,0.8076923076923077,0.038461538461538464,NA,NA,0.07729201466043273,0.07729201466043273
puntal,2018-19,2018-19 early,1,316,234,227,205,22,7,173,32,4,18,0,30,10,NA,early,0.22026431718061673,0.7797356828193832,0,0.5848017621145374,0.1949339207048458,0.02750634270127315,0.027506342701273157
