# file_name - name of the file containing the video of the event;;;;;;;;;;;;;;;;;;
# date - when the video was recorded;;;;;;;;;;;;;;;;;;
# plant - the individual plant at which the video was recorded;;;;;;;;;;;;;;;;;;
# black_availability - availability of black fruits in the branch measured as an observational percentage;;;;;;;;;;;;;;;;;;
# spp - bird species feeding;;;;;;;;;;;;;;;;;;
# no_fruits - total number of  fruits succesfully removed and usually swallowed (unless the bird leaves with the fruit on the beak to consume it other place);;;;;;;;;;;;;;;;;;
# beak_trials - total number of beak trials (succesful and not succesful);;;;;;;;;;;;;;;;;;
# fruit_black - number of black fruits consumed;;;;;;;;;;;;;;;;;;
# fruit_red - number of red frutis consumed;;;;;;;;;;;;;;;;;;
# fruit_NA - number of consumed fruits whose color is not appreciated.;;;;;;;;;;;;;;;;;;
# dropped_fruits - number of fruits droped;;;;;;;;;;;;;;;;;;
# flight_fruit - of the bird leaves with the fruit on the beak without swallowing it first;;;;;;;;;;;;;;;;;;
# arrival - minute in the video of bird arrival;;;;;;;;;;;;;;;;;;
# departure - minute in the video with bird departure;;;;;;;;;;;;;;;;;;
# duration - visit duration;;;;;;;;;;;;;;;;;;
# behav - bird behaviour (mostly feeding);;;;;;;;;;;;;;;;;;
# feeding - binary variable (yes/no);;;;;;;;;;;;;;;;;;
# full_visit - if the visit is fully recorded (yes) or if it is partial (no);;;;;;;;;;;;;;;;;;
# indiv_obs - observations for the specific video;;;;;;;;;;;;;;;;;;
##--------------------------------------##;;;;;;;;;;;;;;;;;;
##--------------------------------------##;;;;;;;;;;;;;;;;;;
##--------------------------------------##;;;;;;;;;;;;;;;;;;
file_name;date;plant;black_availability;spp;no_fruits;beak_trials;fruit_black;fruit_red;fruit_NA;dropped_fruits;flight_fruit;arrival;departure;duration;behav;feeding;full_visit;indiv_obs
20200211_36_S.mel.mp4;20200211;N;0.05;Sylvia melanocephala;2;2;2;0;0;0;yes;0:00:04;0:00:45;0:41;feeding;yes;yes;
20200211_4_E.rub_S.mel.MP4;20200211;L;0.85;Erithacus rubecula;2;2;2;0;0;0;no;0:00:19;0:00:29;0:10;feeding;yes;yes;chased away by Smel
20200211_4_E.rub_S.mel.MP4;20200211;L;0.85;Sylvia melanocephala;;;;;;;;0:00:31;0:00:59;0:28;interacting;no;yes;territorial behaviour
20200211_5_E.rub.MP4;20200211;L;0.85;Erithacus rubecula;3;3;3;0;0;0;no;0:00:03;0:00:33;0:30;feeding;yes;yes;GREAT CAPTURE!
20200211_6_S.mel.MP4;20200211;L;0.8;Sylvia melanocephala;1;2;1;0;0;0;no;0:00:03;0:00:39;0:36;feeding;yes;yes;
20200211_7_S.mel.MP4;20200211;L;0.8;Sylvia melanocephala;1;1;1;0;0;0;no;0:00:05;0:00:28;0:23;feeding;yes;yes;
20200211_8_S.mel.MP4;20200211;L;0.8;Sylvia melanocephala;1;1;1;0;0;0;yes;0:00:06;0:00:26;0:20;feeding;yes;yes;
20200211_9_S.mel.MP4;20200211;L;0.8;Sylvia melanocephala;1;1;0;0;1;0;no;0:00:04;0:00:38;0:34;feeding;yes;yes;
20200219_1_S.mel.mp4;20200219;O;0.3;Sylvia melanocephala;1;1;1;0;0;0;no;0:00:03;0:00:41;0:38;feeding;yes;yes;
20200303_10_E.rub.mp4;20200303;F;0.7;Erithacus rubecula;3;3;3;0;0;0;no;0:00:08;0:01:18;1:10;feeding;yes;yes;
20200303_11_E.rub.mp4;20200303;F;0.7;Erithacus rubecula;2;2;2;0;0;0;yes;0:00:10;0:00:44;0:34;feeding;yes;yes;
20200303_12_S.mel.mp4;20200303;F;0.65;Sylvia melanocephala;2;2;2;0;0;0;yes;0:00:02;0:00:30;0:28;feeding;yes;yes;
20200303_13_E.rub.mp4;20200303;F;0.65;Erithacus rubecula;1;2;1;0;0;0;no;0:00:03;0:00:30;0:27;feeding;yes;yes;
20200303_14_S.mel.mp4;20200303;F;0.6;Sylvia melanocephala;1;1;1;0;0;0;no;0:00:04;0:00:28;0:24;feeding;yes;yes;GREAT CAPTURE!
20200303_15_E.rub.mp4;20200303;F;0.55;Erithacus rubecula;1;1;1;0;0;0;no;0:00:04;0:01:43;1:39;feeding;yes;yes;
20200303_16_E.rub.mp4;20200303;F;0.5;Erithacus rubecula;1;1;1;0;0;0;no;0:00:05;0:00:25;0:20;feeding;yes;yes;
20200303_17_S.mel.mp4;20200303;F;0.5;Sylvia melanocephala;2;2;1;0;1;0;no;0:00:01;0:00:34;0:33;feeding;yes;yes;
20200303_18_E.rub.mp4;20200303;F;0.5;Erithacus rubecula;1;1;1;0;0;0;no;0:00:03;0:00:34;0:31;feeding;yes;yes;good capture
20200303_8_E.rub.mp4;20200303;F;0.7;Erithacus rubecula;4;4;4;0;0;0;yes;0:00:01;0:02:40;2:39;feeding;yes;yes;
20200303_9_S.mel.mp4;20200303;F;0.7;Sylvia melanocephala;2;4;2;0;0;0;no;0:00:03;0:00:46;0:43;feeding;yes;yes;there is fight with a E rub in the middle
20201203_1_S.rubi.mp4;20201203;331;0.3;Saxicola rubicola;2;4;1;0;1;0;no;0:00:03;0:00:33;0:30;feeding;yes;yes;
20201203_1_S.rubi.mp4;20201203;331;0.3;Phylloscopus collybita;;;;;;;;0:00:26;NA;NA;not_visible;unknown;no;
20201203_10_S.rubi_S.mel.mp4;20201203;C;0.5;Saxicola rubicola;1;2;1;0;0;0;no;0:00:01;0:00:25;0:24;feeding;yes;yes;
20201203_10_S.rubi_S.mel.mp4;20201203;C;0.5;Sylvia melanocephala;1;1;1;0;0;0;no;0:00:24;0:01:00;0:36;feeding;yes;yes;
20201203_11_S.rubi.mp4;20201203;C;0.5;Saxicola rubicola;3;3;3;0;0;0;no;0:00:01;0:00:12;0:11;feeding;yes;yes;
20201203_12_S.rubi_E.rub.mp4;20201203;C;0.5;Saxicola rubicola;;;;;;;;0:00:03;0:00:55;0:52;perching / not_feeding;no;yes;leaves because of E rub
20201203_13_E.rub.mp4;20201203;C;0.5;Erithacus rubecula;2;2;2;0;0;0;yes;0:00:06;0:00:30;0:24;feeding;yes;yes;"Also in: ""20201203_13_E.rub_other_side.mp4"""
20201203_14_E.rub.mp4;20201203;C;0.5;Erithacus rubecula;2;2;0;0;2;0;yes;0:00:05;0:00:21;0:16;feeding;yes;yes;
20201203_2_S.rubi.mp4;20201203;331;0.3;Saxicola rubicola;1;NA;0;0;2;0;no;0:00:01;0:00:21;0:20;feeding;yes;yes;
20201203_4_E.rub.mp4;20201203;B;0.5;Erithacus rubecula;1;2;0;0;1;0;no;0:00:02;0:00:12;0:10;feeding;yes;yes;
20201203_5_E.rub.mp4;20201203;B;0.5;Erithacus rubecula;3;3;1;0;2;0;yes;0:00:03;0:00:46;0:43;feeding;yes;yes;
20201203_6_S.rubi.mp4;20201203;B;0.5;Saxicola rubicola;1;1;1;0;0;0;yes;0:00:05;0:00:06;0:01;feeding;yes;yes;GREAT CAPTURE!
20201203_7_E.rub_S.mel.mp4;20201203;C;0.5;Erithacus rubecula;3;3;2;0;1;0;yes;0:00:01;0:00:45;0:44;feeding;yes;yes;
